[2026-09-03 19:29:59] OK | History saved: 2026-09-03 19:30:00<br>Download: 37.91 Mbps<br>Upload: 1.76 Mbps<br>CPU: 12 %<br>Memory: 18.017578125 %<br>Disk: 19.308471679688 %
[2026-09-03 19:30:10] OK | History saved: 2026-09-03 19:30:10<br>Download: 74.46 Mbps<br>Upload: 3.92 Mbps<br>CPU: 15 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:29:59] FAILED | Router Offline
[2026-09-03 19:30:20] OK | History saved: 2026-09-03 19:30:20<br>Download: 59.17 Mbps<br>Upload: 2.13 Mbps<br>CPU: 17 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:30:30] OK | History saved: 2026-09-03 19:30:30<br>Download: 57.05 Mbps<br>Upload: 2.22 Mbps<br>CPU: 17 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:30:24] FAILED | Router Offline
[2026-09-03 19:30:40] OK | History saved: 2026-09-03 19:30:40<br>Download: 76.86 Mbps<br>Upload: 2.75 Mbps<br>CPU: 18 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:30:50] OK | History saved: 2026-09-03 19:30:51<br>Download: 42.5 Mbps<br>Upload: 1.64 Mbps<br>CPU: 13 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:31:01] OK | History saved: 2026-09-03 19:31:01<br>Download: 14.04 Mbps<br>Upload: 0.83 Mbps<br>CPU: 15 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:30:50] FAILED | Router Offline
[2026-09-03 19:31:11] OK | History saved: 2026-09-03 19:31:11<br>Download: 62.04 Mbps<br>Upload: 2.7 Mbps<br>CPU: 13 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:31:21] OK | History saved: 2026-09-03 19:31:21<br>Download: 71.5 Mbps<br>Upload: 1.82 Mbps<br>CPU: 12 %<br>Memory: 18.012237548828 %<br>Disk: 19.308471679688 %
[2026-09-03 19:31:15] FAILED | Router Offline
[2026-09-03 19:31:31] OK | History saved: 2026-09-03 19:31:32<br>Download: 14.71 Mbps<br>Upload: 1.16 Mbps<br>CPU: 9 %<br>Memory: 18.012237548828 %<br>Disk: 19.308471679688 %
[2026-09-03 19:31:42] OK | History saved: 2026-09-03 19:31:42<br>Download: 76.61 Mbps<br>Upload: 2.12 Mbps<br>CPU: 19 %<br>Memory: 18.010711669922 %<br>Disk: 19.308471679688 %
[2026-09-03 19:31:52] OK | History saved: 2026-09-03 19:31:52<br>Download: 58.79 Mbps<br>Upload: 3.46 Mbps<br>CPU: 19 %<br>Memory: 18.006896972656 %<br>Disk: 19.308471679688 %
[2026-09-03 19:31:40] FAILED | Router Offline
[2026-09-03 19:32:02] OK | History saved: 2026-09-03 19:32:02<br>Download: 55.55 Mbps<br>Upload: 2.34 Mbps<br>CPU: 13 %<br>Memory: 18.006896972656 %<br>Disk: 19.308471679688 %
[2026-09-03 19:32:12] OK | History saved: 2026-09-03 19:32:12<br>Download: 34.8 Mbps<br>Upload: 1.48 Mbps<br>CPU: 11 %<br>Memory: 18.011474609375 %<br>Disk: 19.308471679688 %
[2026-09-03 19:32:06] FAILED | Router Offline
[2026-09-03 19:32:22] OK | History saved: 2026-09-03 19:32:23<br>Download: 64.53 Mbps<br>Upload: 1.94 Mbps<br>CPU: 17 %<br>Memory: 18.011474609375 %<br>Disk: 19.308471679688 %
[2026-09-03 19:32:33] OK | History saved: 2026-09-03 19:32:33<br>Download: 34.3 Mbps<br>Upload: 1.13 Mbps<br>CPU: 10 %<br>Memory: 18.011474609375 %<br>Disk: 19.308471679688 %
[2026-09-03 19:32:43] OK | History saved: 2026-09-03 19:32:43<br>Download: 33.3 Mbps<br>Upload: 1.4 Mbps<br>CPU: 11 %<br>Memory: 18.011474609375 %<br>Disk: 19.308471679688 %
[2026-09-03 19:32:31] FAILED | Router Offline
[2026-09-03 19:32:53] OK | History saved: 2026-09-03 19:32:53<br>Download: 42.91 Mbps<br>Upload: 1.86 Mbps<br>CPU: 12 %<br>Memory: 18.011474609375 %<br>Disk: 19.308471679688 %
[2026-09-03 19:33:03] OK | History saved: 2026-09-03 19:33:03<br>Download: 47.3 Mbps<br>Upload: 2.23 Mbps<br>CPU: 15 %<br>Memory: 18.011474609375 %<br>Disk: 19.308471679688 %
[2026-09-03 19:32:56] FAILED | Router Offline
[2026-09-03 19:33:13] OK | History saved: 2026-09-03 19:33:14<br>Download: 54.28 Mbps<br>Upload: 1.74 Mbps<br>CPU: 24 %<br>Memory: 18.013000488281 %<br>Disk: 19.308471679688 %
[2026-09-03 19:33:24] OK | History saved: 2026-09-03 19:33:24<br>Download: 66.16 Mbps<br>Upload: 3.56 Mbps<br>CPU: 17 %<br>Memory: 18.013000488281 %<br>Disk: 19.3115234375 %
[2026-09-03 19:33:34] OK | History saved: 2026-09-03 19:33:34<br>Download: 19.74 Mbps<br>Upload: 1.36 Mbps<br>CPU: 10 %<br>Memory: 17.9931640625 %<br>Disk: 19.3115234375 %
[2026-09-03 19:33:22] FAILED | Router Offline
[2026-09-03 19:33:44] OK | History saved: 2026-09-03 19:33:44<br>Download: 42.13 Mbps<br>Upload: 2.08 Mbps<br>CPU: 10 %<br>Memory: 17.989349365234 %<br>Disk: 19.3115234375 %
[2026-09-03 19:33:54] OK | History saved: 2026-09-03 19:33:55<br>Download: 18.07 Mbps<br>Upload: 1.37 Mbps<br>CPU: 6 %<br>Memory: 18.013000488281 %<br>Disk: 19.3115234375 %
[2026-09-03 19:33:47] FAILED | Router Offline
[2026-09-03 19:34:05] OK | History saved: 2026-09-03 19:34:05<br>Download: 20.47 Mbps<br>Upload: 1.49 Mbps<br>CPU: 12 %<br>Memory: 18.008422851562 %<br>Disk: 19.223022460938 %
[2026-09-03 19:34:15] OK | History saved: 2026-09-03 19:34:15<br>Download: 33.23 Mbps<br>Upload: 1.74 Mbps<br>CPU: 11 %<br>Memory: 17.988586425781 %<br>Disk: 19.219970703125 %
[2026-09-03 19:34:25] OK | History saved: 2026-09-03 19:34:25<br>Download: 65.66 Mbps<br>Upload: 3.03 Mbps<br>CPU: 18 %<br>Memory: 17.984771728516 %<br>Disk: 19.219970703125 %
[2026-09-03 19:34:12] FAILED | Router Offline
[2026-09-03 19:34:35] OK | History saved: 2026-09-03 19:34:35<br>Download: 64.52 Mbps<br>Upload: 7.03 Mbps<br>CPU: 17 %<br>Memory: 17.984771728516 %<br>Disk: 19.219970703125 %
[2026-09-03 19:34:46] OK | History saved: 2026-09-03 19:34:46<br>Download: 43.95 Mbps<br>Upload: 4.66 Mbps<br>CPU: 10 %<br>Memory: 17.984771728516 %<br>Disk: 19.223022460938 %
[2026-09-03 19:34:38] FAILED | Router Offline
[2026-09-03 19:34:56] OK | History saved: 2026-09-03 19:34:56<br>Download: 49.8 Mbps<br>Upload: 4.69 Mbps<br>CPU: 15 %<br>Memory: 18.008422851562 %<br>Disk: 19.219970703125 %
[2026-09-03 19:35:06] OK | History saved: 2026-09-03 19:35:06<br>Download: 67.36 Mbps<br>Upload: 8.08 Mbps<br>CPU: 20 %<br>Memory: 18.008422851562 %<br>Disk: 19.219970703125 %
[2026-09-03 19:35:16] OK | History saved: 2026-09-03 19:35:16<br>Download: 53.8 Mbps<br>Upload: 7.09 Mbps<br>CPU: 20 %<br>Memory: 18.026733398438 %<br>Disk: 19.219970703125 %
[2026-09-03 19:35:03] FAILED | Router Offline
